剧名,url,更新集数,id,总弹幕,播放量,追剧人数
回信,85974,OST A12 · 暗恋基本法,29242,504745,55772792,579162
情蛊,86178,4000w福利·山大王,34172,458231,42588758,454514
失忆后死对头成了我男朋友？,86693,花絮15·恢复,4921,83133,5633381,105499
奇洛李维斯回信 番外篇,93420,番外 ·  庆生宴,4156,23479,1261200,77019
,nan,,,,,
一屋暗灯,93038,主役版主题曲▪未说的,16304,272277,13384248,209890
洄天 1,86815,完结语音 · 高能量S级监护人的一天,11463,191262,28588666,248925
惊封4,86834,特别放送 · emoji大挑战,9634,140931,8240183,147071
一颗苹果,90818,完结FT · 谢谢光临,6191,118484,14166639,167836
于是麦麦（注意限免）,86179,七夕小剧场✦小天使,6410,111455,6194198,114949
再世3上,86827,花絮04 · 谢谢谢谢,3220,59437,3111929,53340
再世权臣3下,93437,第十二集 ·  雨后风荷,2237,41796,999979,27731
沉醉不醒,86740,დ400万福利剧场·桑拿,3185,73176,4317600,57988
太傅2,86723,小剧场·《龙床》,2954,77599,3953883,46593
入蛊,93646,Ⱄⱄᐝ白噪音·逍遥居,1182,23056,1061156,22221
蜉蝣,93202,ೀ˖˚  启动音试听·沈安,2280,38403,1367619,29855
降水概率百分百,93005,完结彩蛋 ♡ 晴天娃娃,1848,47586,2230870,31201
,nan,,,,,
天官4,91718,新年小剧场《压岁钱》,7470,106446,11756133,133811
满城衣冠,90878,第12集 · 绑架,1672,44141,2831754,57546
伏特加与曼特宁,92988,✦店长来啦！⑦,1614,22552,2172705,66958
你的雪人能活多久 1,93787,小剧场04 · 密码,1378,26234,1743404,60835
宋玉章1,86589,第八折 ·  沉溺芳华,1326,46866,4620215,47031
娑婆,93178,第十九集,1295,40776,2083541,39373
沉浮事（广播剧版）,94775,浊世篇·第七集,1145,17375,1141303,18133
秋燥 1,93438,花絮⑤,1055,35524,748681,18481
搭界 1,94617,第十一集,1033,16871,537989,17216
触礁,95034,EP06下⟢| 呛住喉咙的是爱意 |,1005,8448,477709,13938
逆鳞,93750,微雪宫会客厅第四期,933,32422,675773,16921
炽火难熄,94917,第八集 · 夜店,804,13174,458176,21866
绰约,86680,律法小贴士·12则,709,10773,2413664,33049
精神科医生神经了,93567,番外♡也算是重逢,556,23326,493186,15036
大王万万不可1,94259,第十四集·一台好戏,548,18261,532555,16502
难言之欲,94857,E6,488,13779,312492,11614
解瘾,94782,福利音❃牵魂,452,9742,641012,14732
清白之年,94838,第九集·Life in a Love,410,6746,613904,15482
