剧名,url,更新集数,付费集数,id,总弹幕,播放量,追剧人数,抓取错误,id2,总弹幕2,追剧人数2,播放量2,ID周增,总弹幕周增,追剧周增,播放周增,追剧周增率,播放周增率,比例差,本周ID活跃比
回信,85974.0,OST A12 · 暗恋基本法,41.0,16393.0,138870.0,56190861.0,581031.0,,16393.0,138870.0,581031.0,56190861.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.028213640924494562
情蛊,86178.0,4000w福利·山大王,49.0,34320.0,459959.0,42889484.0,456772.0,,34320.0,459959.0,456772.0,42889484.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.07513595404271715
失忆后死对头成了我男朋友？,86693.0,花絮15·恢复,20.0,4949.0,83564.0,5679087.0,105974.0,,4949.0,83564.0,105974.0,5679087.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04670013399513088
奇洛李维斯回信 番外篇,93420.0,番外 ·  庆生宴,2.0,3502.0,13148.0,1284410.0,77934.0,,3502.0,13148.0,77934.0,1284410.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.044935458208227474
,nan,,,,,,,无法识别 drama_id,,,,,,,,,,,,
一屋暗灯,93038.0,主役版主题曲▪未说的,14.0,16424.0,273619.0,13529978.0,210998.0,,16424.0,273619.0,210998.0,13529978.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.077839600375359
洄天 1,86815.0,完结语音 · 高能量S级监护人的一天,14.0,11488.0,191448.0,28669397.0,249431.0,,11488.0,191448.0,249431.0,28669397.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04605682533446123
惊封4,86834.0,特别放送 · emoji大挑战,15.0,9722.0,141781.0,8357749.0,147940.0,,9722.0,141781.0,147940.0,8357749.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06571583074219278
一颗苹果,90818.0,完结FT · 谢谢光临,35.0,6227.0,118824.0,14248720.0,168637.0,,6227.0,118824.0,168637.0,14248720.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.03692546712761731
于是麦麦（注意限免）,86179.0,程凛生日番外✦礼物,34.0,6456.0,112566.0,6241677.0,115305.0,,6456.0,112566.0,115305.0,6241677.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05599063353714063
再世3上,86827.0,花絮04 · 谢谢谢谢,10.0,3255.0,60139.0,3143003.0,53810.0,,3255.0,60139.0,53810.0,3143003.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06049061512729976
再世权臣3下,93437.0,第十二集 ·  雨后风荷,12.0,2280.0,42975.0,1026838.0,28363.0,,2280.0,42975.0,28363.0,1026838.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.08038641892606564
